code,description,last_updated
A54.8,Other gonococcal infections,2024-10-01
A54.9,"Gonococcal infection, unspecified",2024-10-01
A55,,2024-10-01
A56.-,,2024-10-01
A56.0,Chlamydial infection of lower genitourinary tract,2024-10-01
A56.1,Chlamydial infection of pelviperitoneum and other genitourinary organs,2024-10-01
A56.2,"Chlamydial infection of genitourinary tract, unspecified",2024-10-01
A56.3,Chlamydial infection of anus and rectum,2024-10-01
A56.4,Chlamydial infection of pharynx,2024-10-01
A56.8,Sexually transmitted chlamydial infection of other sites,2024-10-01
A57,,2024-10-01
A58,,2024-10-01
A59.-,,2024-10-01
A59.0,Urogenital trichomoniasis,2024-10-01
A59.8,Trichomoniasis of other sites,2024-10-01
A59.9,"Trichomoniasis, unspecified",2024-10-01
A60.-,,2024-10-01
A60.0,Herpesviral infection of genitalia and urogenital tract,2024-10-01
A60.1,Herpesviral infection of perianal skin and rectum,2024-10-01
A60.9,"Anogenital herpesviral infection, unspecified",2024-10-01
A63.-,,2024-10-01
A63.0,Anogenital (venereal) warts,2024-10-01
A63.8,Other specified predominantly sexually transmitted diseases,2024-10-01
A64,,2024-10-01
A65,,2024-10-01
A66.-,,2024-10-01
A66.0,Initial lesions of yaws,2024-10-01
A66.1,Multiple papillomata and wet crab yaws,2024-10-01
A66.2,Other early skin lesions of yaws,2024-10-01
A66.3,Hyperkeratosis of yaws,2024-10-01
A66.4,Gummata and ulcers of yaws,2024-10-01
A66.5,Gangosa,2024-10-01
A66.6,Bone and joint lesions of yaws,2024-10-01
A66.7,Other manifestations of yaws,2024-10-01
A66.8,Latent yaws,2024-10-01
A66.9,"Yaws, unspecified",2024-10-01
A67.-,,2024-10-01
A67.0,Primary lesions of pinta,2024-10-01
A67.1,Intermediate lesions of pinta,2024-10-01
A67.2,Late lesions of pinta,2024-10-01
A67.3,Mixed lesions of pinta,2024-10-01
A67.9,"Pinta, unspecified",2024-10-01
A68.-,,2024-10-01
A68.0,Louse-borne relapsing fever,2024-10-01
A68.1,Tick-borne relapsing fever,2024-10-01
A68.9,"Relapsing fever, unspecified",2024-10-01
A69.-,,2024-10-01
A69.0,Necrotizing ulcerative stomatitis,2024-10-01
A69.1,Other Vincent infections,2024-10-01
A69.2,Lyme disease,2024-10-01
A69.8,Other specified spirochaetal infections,2024-10-01
A69.9,"Spirochaetal infection, unspecified",2024-10-01
A70,,2024-10-01
A71.-,,2024-10-01
A71.0,Initial stage of trachoma,2024-10-01
A71.1,Active stage of trachoma,2024-10-01
A71.9,"Trachoma, unspecified",2024-10-01
A74.-,,2024-10-01
A74.0,Chlamydial conjunctivitis,2024-10-01
A74.8,Other chlamydial diseases,2024-10-01
A74.9,"Chlamydial infection, unspecified",2024-10-01
A75.-,,2024-10-01
A75.0,Epidemic louse-borne typhus fever due to Rickettsia prowazekii,2024-10-01
A75.1,Recrudescent typhus [Brill disease],2024-10-01
A75.2,Typhus fever due to Rickettsia typhi,2024-10-01
A75.3,Typhus fever due to Rickettsia tsutsugamushi,2024-10-01
A75.9,"Typhus fever, unspecified",2024-10-01
A77.-,,2024-10-01
A77.0,Spotted fever due to Rickettsia rickettsii,2024-10-01
A77.1,Spotted fever due to Rickettsia conorii,2024-10-01
A77.2,Spotted fever due to Rickettsia sibirica,2024-10-01
A77.3,Spotted fever due to Rickettsia australis,2024-10-01
A77.8,Other spotted fevers,2024-10-01
A77.9,"Spotted fever, unspecified",2024-10-01
A78,,2024-10-01
A79.-,,2024-10-01
A79.0,Trench fever,2024-10-01
A79.1,Rickettsialpox due to Rickettsia akari,2024-10-01
A79.8,Other specified rickettsioses,2024-10-01
A79.9,"Rickettsiosis, unspecified",2024-10-01
A80.-,,2024-10-01
A80.0,"Acute paralytic poliomyelitis, vaccine-associated",2024-10-01
A80.1,"Acute paralytic poliomyelitis, wild virus, imported",2024-10-01
A80.2,"Acute paralytic poliomyelitis, wild virus, indigenous",2024-10-01
A80.3,"Acute paralytic poliomyelitis, other and unspecified",2024-10-01
A80.4,Acute nonparalytic poliomyelitis,2024-10-01
A80.9,"Acute poliomyelitis, unspecified",2024-10-01
A81.-,,2024-10-01
A81.0,Creutzfeldt-Jakob disease,2024-10-01
A81.1,Subacute sclerosing panencephalitis,2024-10-01
A81.2,Progressive multifocal leukoencephalopathy,2024-10-01
A81.8,Other atypical virus infections of central nervous system,2024-10-01
A81.9,"Atypical virus infection of central nervous system, unspecified",2024-10-01
A82.-,,2024-10-01
A82.0,Sylvatic rabies,2024-10-01
A82.1,Urban rabies,2024-10-01
A82.9,"Rabies, unspecified",2024-10-01
A83.-,,2024-10-01
A83.0,Japanese encephalitis,2024-10-01
A83.1,Western equine encephalitis,2024-10-01
A83.2,Eastern equine encephalitis,2024-10-01
A83.3,St Louis encephalitis,2024-10-01
A83.4,Australian encephalitis,2024-10-01
A83.5,California encephalitis,2024-10-01
A83.6,Rocio virus disease,2024-10-01
A83.8,Other mosquito-borne viral encephalitis,2024-10-01
A83.9,"Mosquito-borne viral encephalitis, unspecified",2024-10-01
A84.-,,2024-10-01
A84.0,Far Eastern tick-borne encephalitis [Russian spring-summer encephalitis],2024-10-01
A84.1,Central European tick-borne encephalitis,2024-10-01
A84.8,Other tick-borne viral encephalitis,2024-10-01
A84.9,"Tick-borne viral encephalitis, unspecified",2024-10-01
A85.-,,2024-10-01
A85.0,Enteroviral encephalitis,2024-10-01
A85.1,Adenoviral encephalitis,2024-10-01
A85.2,"Arthropod-borne viral encephalitis, unspecified",2024-10-01
A85.8,Other specified viral encephalitis,2024-10-01
A86,,2024-10-01
A87.-,,2024-10-01
A87.0,Enteroviral meningitis,2024-10-01
A87.1,Adenoviral meningitis,2024-10-01
A87.2,Lymphocytic choriomeningitis,2024-10-01
A87.8,Other viral meningitis,2024-10-01
A87.9,"Viral meningitis, unspecified",2024-10-01
A88.-,,2024-10-01
A88.0,Enteroviral exanthematous fever [Boston exanthem],2024-10-01
A88.1,Epidemic vertigo,2024-10-01
A88.8,Other specified viral infections of central nervous system,2024-10-01
A89,,2024-10-01
A92.-,,2024-10-01
A92.0,Chikungunya virus disease,2024-10-01
A92.1,O'nyong-nyong fever,2024-10-01
A92.2,Venezuelan equine fever,2024-10-01
A92.3,West Nile virus infection,2024-10-01
A92.4,Rift Valley fever,2024-10-01
A92.5,Zika virus disease,2024-10-01
A92.8,Other specified mosquito-borne viral fevers,2024-10-01
A92.9,"Mosquito-borne viral fever, unspecified",2024-10-01
A93.-,,2024-10-01
A93.0,Oropouche virus disease,2024-10-01
A93.1,Sandfly fever,2024-10-01
A93.2,Colorado tick fever,2024-10-01
A93.8,Other specified arthropod-borne viral fevers,2024-10-01
A94,,2024-10-01
A95.-,,2024-10-01
A95.0,Sylvatic yellow fever,2024-10-01
A95.1,Urban yellow fever,2024-10-01
A95.9,"Yellow fever, unspecified",2024-10-01
A96.-,,2024-10-01
A96.0,Junin haemorrhagic fever,2024-10-01
A96.1,Machupo haemorrhagic fever,2024-10-01
A96.2,Lassa fever,2024-10-01
A96.8,Other arenaviral haemorrhagic fevers,2024-10-01
A96.9,"Arenaviral haemorrhagic fever, unspecified",2024-10-01
A97.-,,2024-10-01
A97.0,Dengue without warning signs,2024-10-01
A97.1,Dengue with warning signs,2024-10-01
A97.2,Severe Dengue,2024-10-01
A97.9,"Dengue, unspecified",2024-10-01
A98.-,,2024-10-01
A98.0,Crimean-Congo haemorrhagic fever,2024-10-01
A98.1,Omsk haemorrhagic fever,2024-10-01
A98.2,Kyasanur Forest disease,2024-10-01
A98.3,Marburg virus disease,2024-10-01
A98.4,Ebola virus disease,2024-10-01
A98.5,Haemorrhagic fever with renal syndrome,2024-10-01
A98.8,Other specified viral haemorrhagic fevers,2024-10-01
A99,,2024-10-01
B00.-,,2024-10-01
B00.0,Eczema herpeticum,2024-10-01
B00.1,Herpesviral vesicular dermatitis,2024-10-01
B00.2,Herpesviral gingivostomatitis and pharyngotonsillitis,2024-10-01
B00.3,Herpesviral meningitis,2024-10-01
B00.4,Herpesviral encephalitis,2024-10-01
B00.5,Herpesviral ocular disease,2024-10-01
B00.7,Disseminated herpesviral disease,2024-10-01
B00.8,Other forms of herpesviral infection,2024-10-01
B00.9,"Herpesviral infection, unspecified",2024-10-01
B01.-,,2024-10-01
B01.0,Varicella meningitis,2024-10-01
B01.1,Varicella encephalitis,2024-10-01
B01.2,Varicella pneumonia,2024-10-01
B01.8,Varicella with other complications,2024-10-01
B01.9,Varicella without complication,2024-10-01
B02.-,,2024-10-01
B02.0,Zoster encephalitis,2024-10-01
B02.1,Zoster meningitis,2024-10-01
B02.2,Zoster with other nervous system involvement,2024-10-01
B02.3,Zoster ocular disease,2024-10-01
B02.7,Disseminated zoster,2024-10-01
B02.8,Zoster with other complications,2024-10-01
B02.9,Zoster without complication,2024-10-01
B03,,2024-10-01
B04,,2024-10-01
B05.-,,2024-10-01
B05.0,Measles complicated by encephalitis,2024-10-01
B05.1,Measles complicated by meningitis,2024-10-01
B05.2,Measles complicated by pneumonia,2024-10-01
B05.3,Measles complicated by otitis media,2024-10-01
B05.4,Measles with intestinal complications,2024-10-01
B05.8,Measles with other complications,2024-10-01
B05.9,Measles without complication,2024-10-01
B06.-,,2024-10-01
B06.0,Rubella with neurological complications,2024-10-01
B06.8,Rubella with other complications,2024-10-01
B06.9,Rubella without complication,2024-10-01
B07,,2024-10-01
B08.-,,2024-10-01
B08.0,Other orthopoxvirus infections,2024-10-01
B08.1,Molluscum contagiosum,2024-10-01
B08.2,Exanthema subitum [sixth disease],2024-10-01
B08.3,Erythema infectiosum [fifth disease],2024-10-01
B08.4,Enteroviral vesicular stomatitis with exanthem,2024-10-01
B08.5,Enteroviral vesicular pharyngitis,2024-10-01
B08.8,Other specified viral infections characterized by skin and mucous membrane lesions,2024-10-01
B09,,2024-10-01
B15.-,,2024-10-01
B15.0,Hepatitis A with hepatic coma,2024-10-01
B15.9,Hepatitis A without hepatic coma,2024-10-01
B16.-,,2024-10-01
B16.0,Acute hepatitis B with delta-agent (coinfection) with hepatic coma,2024-10-01
B16.1,Acute hepatitis B with delta-agent (coinfection) without hepatic coma,2024-10-01
B16.2,Acute hepatitis B without delta-agent with hepatic coma,2024-10-01
B16.9,Acute hepatitis B without delta-agent and without hepatic coma,2024-10-01
B17.-,,2024-10-01
B17.0,Acute delta-(super)infection in chronic hepatitis B,2024-10-01
B17.1,Acute hepatitis C,2024-10-01
B17.2,Acute hepatitis E,2024-10-01
B17.8,Other specified acute viral hepatitis,2024-10-01
B17.9,"Acute viral hepatitis, unspecified",2024-10-01
B18.-,,2024-10-01
B18.0-,Chronic viral hepatitis B with delta-agent,2024-10-01
B18.00,Chronic viral hepatitis B with delta-agent,2024-10-01
B18.09,Chronic viral hepatitis B with delta-agent,2024-10-01
B18.1-,Chronic viral hepatitis B without delta-agent,2024-10-01
B18.10,Chronic viral hepatitis B without delta-agent,2024-10-01
B18.19,Chronic viral hepatitis B without delta-agent,2024-10-01
B18.2,Chronic viral hepatitis C,2024-10-01
B18.8,Other chronic viral hepatitis,2024-10-01
B18.9,"Chronic viral hepatitis, unspecified",2024-10-01
B19.-,,2024-10-01
B19.0,Unspecified viral hepatitis with hepatic coma,2024-10-01
B19.9,Unspecified viral hepatitis without hepatic coma,2024-10-01
B20.-,,2024-10-01
B20.0,HIV disease resulting in mycobacterial infection,2024-10-01
B20.1,HIV disease resulting in other bacterial infections,2024-10-01
B20.2,HIV disease resulting in cytomegaloviral disease,2024-10-01
B20.3,HIV disease resulting in other viral infections,2024-10-01
B20.4,HIV disease resulting in candidiasis,2024-10-01
B20.5,HIV disease resulting in other mycoses,2024-10-01
B20.6,HIV disease resulting in Pneumocystis jirovecii pneumonia,2024-10-01
B20.7,HIV disease resulting in multiple infections,2024-10-01
B20.8,HIV disease resulting in other infectious and parasitic diseases,2024-10-01
B20.9,HIV disease resulting in unspecified infectious or parasitic disease,2024-10-01
B21.-,,2024-10-01
B21.0,HIV disease resulting in Kaposi sarcoma,2024-10-01
B21.1,HIV disease resulting in Burkitt lymphoma,2024-10-01
B21.2,HIV disease resulting in other types of non-Hodgkin lymphoma,2024-10-01
B21.3,"HIV disease resulting in other malignant neoplasms of lymphoid, haematopoietic and related tissue",2024-10-01
B21.7,HIV disease resulting in multiple malignant neoplasms,2024-10-01
B21.8,HIV disease resulting in other malignant neoplasms,2024-10-01
B21.9,HIV disease resulting in unspecified malignant neoplasm,2024-10-01
B22.-,,2024-10-01
B22.0,HIV disease resulting in encephalopathy,2024-10-01
B22.1,HIV disease resulting in lymphoid interstitial pneumonitis,2024-10-01
B22.2,HIV disease resulting in wasting syndrome,2024-10-01
B22.7,HIV disease resulting in multiple diseases classified elsewhere,2024-10-01
B23.-,,2024-10-01
B23.0,Acute HIV infection syndrome,2024-10-01
B23.1,HIV disease resulting in (persistent) generalized lymphadenopathy,2024-10-01
