code,description,last_updated
AY001007,"Item or service furnished to an esrd patient that is not for the treatment of,Ite",2024-10-01
AY002008,"esrd,,,,,,",2024-10-01
AZ001007,"Physician providing a service in a dental health professional shortage area for,P",2024-10-01
AZ002008,"the purpose of an electronic health record incentive payment,,,,,,",2024-10-01
BA001007,"Item furnished in conjunction with parenteral enteral nutrition (pen) services,It",2024-10-01
BL001007,"Special acquisition of blood and blood products,Spec acquisition blood prods,,,C,",2024-10-01
BO001007,"""Orally administered nutrition, not by feeding tube"",Nutrition oral admin no tube",2024-10-01
BP001007,"The beneficiary has been informed of the purchase and rental options and has,Bene",2024-10-01
BP002008,"elected to purchase the item,,,,,,",2024-10-01
BR001007,"The beneficiary has been informed of the purchase and rental options and has,Bene",2024-10-01
BR002008,"elected to rent the item,,,,,,",2024-10-01
BU001007,"The beneficiary has been informed of the purchase and rental options and after,Be",2024-10-01
BU002008,"30 days has not informed the supplier of his/her decision,,,,,,",2024-10-01
CA001007,"Procedure payable only in the inpatient setting when performed emergently on an,P",2024-10-01
CA002008,"outpatient who expires prior to admission,,,,,,",2024-10-01
CB001007,"Service ordered by a renal dialysis facility (rdf) physician as part of the,Esrd",2024-10-01
CB002008,"""esrd beneficiary's dialysis benefit, is not part of the composite rate, and is"",",2024-10-01
CB003008,"separately reimbursable,,,,,,",2024-10-01
CC001007,"Procedure code change (use 'cc' when the procedure code submitted was changed,Pro",2024-10-01
CC002008,"either for administrative reasons or because an incorrect code was filed),,,,,,",2024-10-01
CD001007,"Amcc test has been ordered by an esrd facility or mcp physician that is part of,A",2024-10-01
CD002008,"the composite rate and is not separately billable,,,,,,",2024-10-01
CE001007,"Amcc test has been ordered by an esrd facility or mcp physician that is a,Med nec",2024-10-01
CE002008,"composite rate test but is beyond the normal frequency covered under the rate,,,,",2024-10-01
CE003008,"and is separately reimbursable based on medical necessity,,,,,,",2024-10-01
CF001007,"Amcc test has been ordered by an esrd facility or mcp physician that is not,Amcc",2024-10-01
CF002008,"part of the composite rate and is separately billable,,,,,,",2024-10-01
CG001007,"Policy criteria applied,Policy criteria applied,,,C,,200807012008",2024-10-01
CH001007,"""0 percent impaired, limited or restricted"",""0 percent impaired, ltd, res"",,,D,01",2024-10-01
CI001007,"""At least 1 percent but less than 20 percent impaired, limited or restricted"",1 t",2024-10-01
CJ001007,"""At least 20 percent but less than 40 percent impaired, limited or restricted"",20",2024-10-01
CK001007,"""At least 40 percent but less than 60 percent impaired, limited or restricted"",40",2024-10-01
CL001007,"""At least 60 percent but less than 80 percent impaired, limited or restricted"",60",2024-10-01
CM001007,"""At least 80 percent but less than 100 percent impaired, limited or restricted"",8",2024-10-01
CN001007,"""100 percent impaired, limited or restricted"",""100 percent impaired, ltd"",,,D,018",2024-10-01
CO001007,"Outpatient occupational therapy services furnished in whole or in part by an,Outp",2024-10-01
CO002008,"occupational therapy assistant,,,,,,",2024-10-01
CP001007,"Adjunctive service related to a procedure assigned to a comprehensive,C-apc adjun",2024-10-01
CP002008,"""ambulatory payment classification (c-apc) procedure, but reported on a"",,,,,,",2024-10-01
CP003008,"different claim,,,,,,",2024-10-01
CQ001007,"Outpatient physical therapy services furnished in whole or in part by a,Outpatien",2024-10-01
CQ002008,"physical therapist assistant,,,,,,",2024-10-01
CR001007,"Catastrophe/disaster related,Catastrophe/disaster related,,,C,,200508212005",2024-10-01
CS001007,"Cost-sharing waived for specified covid-19 testing-related services that result,C",2024-10-01
CS002008,"in and order for or administration of a covid-19 test and/or used for,,,,,,",2024-10-01
CS003008,"cost-sharing waived preventive services furnished via telehealth in rural,,,,,,",2024-10-01
CS004008,"health clinics and federally qualified health centers during the covid-19,,,,,,",2024-10-01
CS005008,"public health emergency,,,,,,",2024-10-01
CT001007,"Computed tomography services furnished using equipment that does not meet each,Ct",2024-10-01
CT002008,"of the attributes of the national electrical manufacturers association (nema),,,,",2024-10-01
CT003008,"xr-29-2013 standard,,,,,,",2024-10-01
DA001007,"Oral health assessment by a licensed health professional other than a dentist,""Or",2024-10-01
E1001007,"""Upper left, eyelid"",Upper left eyelid,,,C,,199501011999",2024-10-01
E2001007,"""Lower left, eyelid"",Lower left eyelid,,,C,,199501011999",2024-10-01
E3001007,"""Upper right, eyelid"",Upper right eyelid,,,C,,199501011999",2024-10-01
E4001007,"""Lower right, eyelid"",Lower right eyelid,,,C,,199501011999",2024-10-01
EA001007,"Erythropoietic stimulating agent (esa) administered to treat anemia due to,""Esa,",2024-10-01
EA002008,"anti-cancer chemotherapy,,,,,,",2024-10-01
EB001007,"Erythropoietic stimulating agent (esa) administered to treat anemia due to,""Esa,",2024-10-01
EB002008,"anti-cancer radiotherapy,,,,,,",2024-10-01
EC001007,"Erythropoietic stimulating agent (esa) administered to treat anemia not due to,""E",2024-10-01
EC002008,"anti-cancer radiotherapy or anti-cancer chemotherapy,,,,,,",2024-10-01
ED001007,"Hematocrit level has exceeded 39% (or hemoglobin level has exceeded 13.0 g/dl),Hc",2024-10-01
ED002008,"for 3 or more consecutive billing cycles immediately prior to and including the,,",2024-10-01
ED003008,"current cycle,,,,,,",2024-10-01
EE001007,"Hematocrit level has not exceeded 39% (or hemoglobin level has not exceeded,Hct>3",2024-10-01
EE002008,"13.0 g/dl) for 3 or more consecutive billing cycles immediately prior to and,,,,,",2024-10-01
EE003008,"including the current cycle,,,,,,",2024-10-01
EJ001007,"""Subsequent claims for a defined course of therapy, e.g., epo, sodium"",Subsequent",2024-10-01
EJ002008,"""hyaluronate, infliximab"",,,,,,",2024-10-01
EM001007,"Emergency reserve supply (for esrd benefit only),Emer reserve supply (esrd)",2024-10-01
EP001007,"Service provided as part of medicaid early periodic screening diagnosis and,Medic",2024-10-01
EP002008,"treatment (epsdt) program,,,,,,",2024-10-01
ER001007,"""Items and services furnished by a provider-based, off-campus emergency"",Off-camp",2024-10-01
ER002008,"department,,,,,,",2024-10-01
ET001007,"Emergency services,Emergency services,,,C,,198401012002",2024-10-01
EX001007,"Expatriate beneficiary,Expatriate beneficiary,,,C,,201504012015",2024-10-01
EY001007,"No physician or other licensed health care provider order for this item or,No md",2024-10-01
EY002008,"service,,,,,,",2024-10-01
F1001007,"""Left hand, second digit"",""Left hand, second digit"",,,C,,199501011999",2024-10-01
F2001007,"""Left hand, third digit"",""Left hand, third digit"",,,C,,199501011999",2024-10-01
F3001007,"""Left hand, fourth digit"",""Left hand, fourth digit"",,,C,,199501011999",2024-10-01
F4001007,"""Left hand, fifth digit"",""Left hand, fifth digit"",,,C,,199501011999",2024-10-01
F5001007,"""Right hand, thumb"",""Right hand, thumb"",,,C,,199501011999",2024-10-01
F6001007,"""Right hand, second digit"",""Right hand, second digit"",,,C,,199501011999",2024-10-01
F7001007,"""Right hand, third digit"",""Right hand, third digit"",,,C,,199501011999",2024-10-01
F8001007,"""Right hand, fourth digit"",""Right hand, fourth digit"",,,C,,199501011999",2024-10-01
F9001007,"""Right hand, fifth digit"",""Right hand, fifth digit"",,,C,,199501011999",2024-10-01
FA001007,"""Left hand, thumb"",""Left hand, thumb"",,,C,,199501011999",2024-10-01
FB001007,"""Item provided without cost to provider, supplier or practitioner, or full"",Item",2024-10-01
FB002008,"""credit received for replaced device (examples, but not limited to, covered"",,,,,",2024-10-01
FB003008,"""under warranty, replaced due to defect, free samples)"",,,,,,",2024-10-01
FC001007,"Partial credit received for replaced device,""Part credit, replaced device"",,,D,01",2024-10-01
FP001007,"Service provided as part of family planning program,Svc part of family plan pgm,,",2024-10-01
FQ001007,"The service was furnished using audio-only communication technology,Audio-only se",2024-10-01
FR001007,"""The supervising practitioner was present through two-way, audio/video"",Two-way a",2024-10-01
FR002008,"communication technology,,,,,,",2024-10-01
FS001007,"Split (or shared) evaluation and management visit,Split or shared e/m visit,,,C,,",2024-10-01
FT001007,"Unrelated evaluation and management (e/m) visit on the same day as another e/m,""S",2024-10-01
FT002008,"""visit or during a global procedure (preoperative, postoperative period, or on"",,",2024-10-01
FT003008,"""the same day as the procedure, as applicable). (report when an e/m visit is"",,,,",2024-10-01
FT004008,"""furnished within the global period but is unrelated, or when one or more"",,,,,,",2024-10-01
FT005008,"additional e/m visits furnished on the same day are unrelated),,,,,,",2024-10-01
FX001007,"X-ray taken using film,X-ray taken using film,,,C,,201701012017",2024-10-01
FY001007,"X-ray taken using computed radiography technology/cassette-based imaging,Computed",2024-10-01
G0001007,"""Telehealth services for diagnosis, evaluation, or treatment, of symptoms of an"",",2024-10-01
G0002008,"acute stroke,,,,,,",2024-10-01
G1001007,"Most recent urr reading of less than 60,Urr reading of less than 60,,,C,,19970101",2024-10-01
G2001007,"Most recent urr reading of 60 to 64.9,Urr reading of 60 to 64.9,,,C,,199701011998",2024-10-01
G3001007,"Most recent urr reading of 65 to 69.9,Urr  reading of 65 to 69.9,,,C,,19970101199",2024-10-01
G4001007,"Most recent urr reading of 70 to 74.9,Urr reading of 70 to 74.9,,,C,,199701011997",2024-10-01
G5001007,"Most recent urr reading of 75 or greater,Urr reading of 75 or greater,,,C,,199701",2024-10-01
G6001007,"Esrd patient for whom less than six dialysis sessions have been provided in a,Esr",2024-10-01
G6002008,"month,,,,,,",2024-10-01
G7001007,"Pregnancy resulted from rape or incest or pregnancy certified by physician as,Pay",2024-10-01
G7002008,"life threatening,,,,,,",2024-10-01
G8001007,"""Monitored anesthesia care (mac) for deep complex, complicated, or markedly"",Moni",2024-10-01
G8002008,"invasive surgical procedure,,,,,,",2024-10-01
G9001007,"Monitored anesthesia care for patient who has history of severe,Mac for at risk p",2024-10-01
G9002008,"cardio-pulmonary condition,,,,,,",2024-10-01
GA001007,"""Waiver of liability statement issued as required by payer policy, individual"",Li",2024-10-01
GA002008,"case,,,,,,",2024-10-01
GB001007,"Claim being re-submitted for payment because it is no longer covered under a,Clai",2024-10-01
GB002008,"global payment demonstration,,,,,,",2024-10-01
GC001007,"This service has been performed in part by a resident under the direction of a,Re",2024-10-01
GC002008,"teaching physician,,,,,,",2024-10-01
GD001007,"Units of service exceeds medically unlikely edit value and represents,Unit of ser",2024-10-01
GD002008,"reasonable and necessary services,,,,,,",2024-10-01
GE001007,"This service has been performed by a resident without the presence of a,Resident",2024-10-01
GE002008,"teaching physician under the primary care exception,,,,,,",2024-10-01
GF001007,"""Non-physician (e.g. nurse practitioner (np), certified registered nurse"",Nonphys",2024-10-01
GF002008,"""anesthetist (crna), certified registered nurse (crn), clinical nurse specialist""",2024-10-01
GF003008,"""(cns), physician assistant (pa)) services in a critical access hospital"",,,,,,",2024-10-01
GG001007,"Performance and payment of a screening mammogram and diagnostic mammogram on,Paym",2024-10-01
GG002008,"""the same patient, same day"",,,,,,",2024-10-01
GH001007,"Diagnostic mammogram converted from screening mammogram on same day,Diag mammo to",2024-10-01
GJ001007,"""""""opt out"""" physician or practitioner emergency or urgent service"",Opt out provi",2024-10-01
GK001007,"Reasonable and necessary item/service associated with a ga or gz modifier,Actual",2024-10-01
GL001007,"""Medically unnecessary upgrade provided instead of non-upgraded item, no charge,""",2024-10-01
GL002008,"no advance beneficiary notice (abn),,,,,,",2024-10-01
GM001007,"Multiple patients on one ambulance trip,Multiple transports,,,C,,200201012002",2024-10-01
GN001007,"Services delivered under an outpatient speech language pathology plan of care,Op",2024-10-01
GO001007,"Services delivered under an outpatient occupational therapy plan of care,Op occup",2024-10-01
GP001007,"Services delivered under an outpatient physical therapy plan of care,Op pt servic",2024-10-01
GQ001007,"Via asynchronous telecommunications system,Telehealth store and forward,,,C,,2001",2024-10-01
GR001007,"This service was performed in whole or in part by a resident in a department of,S",2024-10-01
GR002008,"""veterans affairs medical center or clinic, supervised in accordance with va"",,,,",2024-10-01
GR003008,"policy,,,,,,",2024-10-01
GS001007,"Dosage of erythropoietin stimulating agent has been reduced and maintained in,Epo",2024-10-01
GS002008,"response to hematocrit or hemoglobin level,,,,,,",2024-10-01
GT001007,"Via interactive audio and video telecommunication systems,Interactivetelecommunic",2024-10-01
GU001007,"""Waiver of liability statement issued as required by payer policy, routine notic""",2024-10-01
GV001007,"Attending physician not employed or paid under arrangement by the patient's,Atten",2024-10-01
GV002008,"hospice provider,,,,,,",2024-10-01
GW001007,"Service not related to the hospice patient's terminal condition,Service unrelated",2024-10-01
GX001007,"""Notice of liability issued, voluntary under payer policy"",Voluntary liability no",2024-10-01
GY001007,"""Item or service statutorily excluded, does not meet the definition of any"",Statu",2024-10-01
GY002008,"""medicare benefit or, for non-medicare insurers, is not a contract benefit"",,,,,,",2024-10-01
GZ001007,"Item or service expected to be denied as not reasonable and necessary,Not reasona",2024-10-01
H9001007,"Court-ordered,Court-ordered,,,I,,200301012003",2024-10-01
HA001007,"Child/adolescent program,Child/adolescent program,,,I,,200301012003",2024-10-01
HB001007,"""Adult program, non geriatric"",Adult program non-geriatric,,,I,,200301012003",2024-10-01
HC001007,"""Adult program, geriatric"",Adult program geriatric,,,I,,200301012003",2024-10-01
HD001007,"Pregnant/parenting women's program,Pregnant/parenting program,,,I,,200301012003",2024-10-01
HE001007,"Mental health program,Mental health program,,,I,,200301012003",2024-10-01
HF001007,"Substance abuse program,Substance abuse program,,,I,,200301012003",2024-10-01
HG001007,"Opioid addiction treatment program,Opioid addiction tx program,,,I,,200301012003",2024-10-01
HH001007,"Integrated mental health/substance abuse program,Mental hlth/substance abs pr,,,I",2024-10-01
HI001007,"Integrated mental health and intellectual disability/developmental disabilities,M",2024-10-01
HI002008,"program,,,,,,",2024-10-01
HJ001007,"Employee assistance program,Employee assistance program,,,I,,200301012003",2024-10-01
HK001007,"Specialized mental health programs for high-risk populations,Spec hgh rsk mntl hl",2024-10-01
HL001007,"Intern,Intern,,,I,,200301012003",2024-10-01
HM001007,"Less than bachelor degree level,Less than bachelor degree lv,,,I,,200301012003",2024-10-01
HN001007,"Bachelors degree level,Bachelors degree level,,,I,,200301012003",2024-10-01
HO001007,"Masters degree level,Masters degree level,,,I,,200301012003",2024-10-01
HP001007,"Doctoral level,Doctoral level,,,I,,200301012003",2024-10-01
HQ001007,"Group setting,Group setting,,,I,,200301012003",2024-10-01
HR001007,"Family/couple with client present,Family/couple w client prsnt,,,I,,200301012003",2024-10-01
HS001007,"Family/couple without client present,Family/couple w/o client prs,,,I,,2003010120",2024-10-01
HT001007,"Multi-disciplinary team,Multi-disciplinary team,,,I,,200301012003",2024-10-01
HU001007,"Funded by child welfare agency,Child welfare agency funded,,,I,,200301012003",2024-10-01
HV001007,"Funded state addictions agency,Funded state addiction agncy,,,I,,200301012003",2024-10-01
HW001007,"Funded by state mental health agency,State mntl hlth agncy funded,,,I,,2003010120",2024-10-01
HX001007,"Funded by county/local agency,County/local agency funded,,,I,,200301012003",2024-10-01
HY001007,"Funded by juvenile justice agency,Funded by juvenile justice,,,I,,200301012003",2024-10-01
HZ001007,"Funded by criminal justice agency,Criminal justice agncy fund,,,I,,200301012003",2024-10-01
J1001007,"Competitive acquisition program no-pay submission for a prescription number,Cap n",2024-10-01
J2001007,"""Competitive acquisition program, restocking of emergency drugs after emergency"",",2024-10-01
J2002008,"administration,,,,,,",2024-10-01
J3001007,"""Competitive acquisition program (cap), drug not available through cap as"",Cap dr",2024-10-01
J3002008,"""written, reimbursed under average sales price methodology"",,,,,,",2024-10-01
J4001007,"Dmepos item subject to dmepos competitive bidding program that is furnished by,Dm",2024-10-01
J4002008,"a hospital upon discharge,,,,,,",2024-10-01
J5001007,"Off-the-shelf orthotic subject to dmepos competitive bidding program that is,Dmep",2024-10-01
J5002008,"furnished as part of a physical therapist or occupational therapist,,,,,,",2024-10-01
J5003008,"professional service,,,,,,",2024-10-01
JA001007,"Administered intravenously,Administered intravenously,,,C,,200701012007",2024-10-01
JB001007,"Administered subcutaneously,Administered subcutaneously,,,C,,200701012007",2024-10-01
JC001007,"Skin substitute used as a graft,Skin substitute graft,,,C,,200901012009",2024-10-01
JD001007,"Skin substitute not used as a graft,Skin sub not used as a graft,,,C,,20090101200",2024-10-01
JE001007,"Administered via dialysate,Administered via dialysate,,,C,,201307012013",2024-10-01
JF001007,"Compounded drug,Compounded drug,,,C,,201504012015",2024-10-01
JG001007,"""Drug or biological acquired with 340b drug pricing program discount, reported"",3",2024-10-01
JG002008,"for informational purposes,,,,,,",2024-10-01
JK001007,"One month supply or less of drug or biological,Drug supply 1 month or less,,,C,,2",2024-10-01
JL001007,"Three month supply of drug or biological,Drug 3 month supply,,,C,,202304012023",2024-10-01
JW001007,"Drug amount discarded/not administered to any patient,Discarded drug not administ",2024-10-01
JZ001007,"Zero drug amount discarded/not administered to any patient,Zero drug wasted,,,C,,",2024-10-01
K0001007,"Lower extremity prosthesis functional level 0 - does not have the ability or,Lwr",2024-10-01
K0002008,"potential to ambulate or transfer safely with or without assistance and a,,,,,,",2024-10-01
K0003008,"prosthesis does not enhance their quality of life or mobility.,,,,,,",2024-10-01
K1001007,"Lower extremity prosthesis functional level 1 - has the ability or potential to,L",2024-10-01
K1002008,"use a prosthesis for transfers or ambulation on level surfaces at fixed,,,,,,",2024-10-01
K1003008,"cadence. typical of the limited and unlimited household ambulator.,,,,,,",2024-10-01
K2001007,"Lower extremity prosthesis functional level 2 - has the ability or potential,Lwr",2024-10-01
K2002008,"for ambulation with the ability to traverse low level environmental barriers,,,,,",2024-10-01
K2003008,"""such as curbs, stairs or uneven surfaces.  typical of the limited community"",,,,",2024-10-01
K2004008,"ambulator.,,,,,,",2024-10-01
K3001007,"Lower extremity prosthesis functional level 3 - has the ability or potential,Lwr",2024-10-01
K3002008,"for ambulation with variable cadence.  typical of the community ambulator who,,,,",2024-10-01
K3003008,"has the ability to transverse most environmental barriers and may have,,,,,,",2024-10-01
K3004008,"""vocational, therapeutic, or exercise activity that demands prosthetic"",,,,,,",2024-10-01
K3005008,"utilization beyond simple locomotion.,,,,,,",2024-10-01
K4001007,"Lower extremity prosthesis functional level 4 - has the ability or potential,Lwr",2024-10-01
K4002008,"""for prosthetic ambulation that exceeds the basic ambulation skills, exhibiting"",",2024-10-01
K4003008,"""high impact, stress, or energy levels, typical of the prosthetic demands of the""",2024-10-01
K4004008,"""child, active adult, or athlete."",,,,,,",2024-10-01
KA001007,"Add on option/accessory for wheelchair,Wheelchair add-on option/acc,,,C,,19940101",2024-10-01
KB001007,"""Beneficiary requested upgrade for abn, more than 4 modifiers identified on clai""",2024-10-01
KC001007,"Replacement of special power wheelchair interface,Repl special pwr wc intrface,,,",2024-10-01
KD001007,"Drug or biological infused through dme,Drug/biological dme infused,,,C,,200401012",2024-10-01
KE001007,"Bid under round one of the dmepos competitive bidding program for use with,Bid un",2024-10-01
KE002008,"non-competitive bid base equipment,,,,,,",2024-10-01
KF001007,"Item designated by fda as class iii device,Fda class iii device,,,C,,200404012004",2024-10-01
KG001007,"Dmepos item subject to dmepos competitive bidding program number 1,Dmepos comp bi",2024-10-01
KH001007,"""Dmepos item, initial claim, purchase or first month rental"",""Dmepos ini clm, pur",2024-10-01
KI001007,"""Dmepos item, second or third month rental"",Dmepos 2nd or 3rd mo rental,,,C,,1994",2024-10-01
KJ001007,"""Dmepos item, parenteral enteral nutrition (pen) pump or capped rental, months"",D",2024-10-01
KJ002008,"four to fifteen,,,,,,",2024-10-01
KK001007,"Dmepos item subject to dmepos competitive bidding program number 2,Dmepos comp bi",2024-10-01
KL001007,"Dmepos item delivered via mail,Dmepos mailorder comp bid,,,C,,200707012009",2024-10-01
KM001007,"Replacement of facial prosthesis including new impression/moulage,Rplc facial pro",2024-10-01
KN001007,"Replacement of facial prosthesis using previous master model,Rplc facial prosth o",2024-10-01
KO001007,"Single drug unit dose formulation,Single drug unit dose form,,,C,,199704011997",2024-10-01
KP001007,"First drug of a multiple drug unit dose formulation,First drug of multi drug u d,",2024-10-01
KQ001007,"Second or subsequent drug of a multiple drug unit dose formulation,2nd/subsqnt dr",2024-10-01
KR001007,"""Rental item, billing for partial month"",Rental item partial month,,,C,,200201012",2024-10-01
KS001007,"Glucose monitor supply for diabetic beneficiary not treated with insulin,Glucose",2024-10-01
KT001007,"Beneficiary resides in a competitive bidding area and travels outside that,Item f",2024-10-01
KT002008,"competitive bidding area and receives a competitive bid item,,,,,,",2024-10-01
KU001007,"Dmepos item subject to dmepos competitive bidding program number 3,Dmepos comp bi",2024-10-01
KV001007,"Dmepos item subject to dmepos competitive bidding program that is furnished as,""D",2024-10-01
KV002008,"part of a professional service,,,,,,",2024-10-01
KW001007,"Dmepos item subject to dmepos competitive bidding program number 4,Dmepos comp bi",2024-10-01
KX001007,"Requirements specified in the medical policy have been met,Documentation on file,",2024-10-01
KY001007,"Dmepos item subject to dmepos competitive bidding program number 5,Dmepos comp bi",2024-10-01
KZ001007,"New coverage not implemented by managed care,New cov not implement by m+c,,,C,,20",2024-10-01
L1001007,"Provider attestation that the hospital laboratory test(s) is not packaged under,S",2024-10-01
L1002008,"the hospital opps,,,,,,",2024-10-01
LC001007,"Left circumflex coronary artery,Lft circum coronary artery,,,C,,199701011997",2024-10-01
LD001007,"Left anterior descending coronary artery,Left ant des coronary artery,,,C,,199701",2024-10-01
LL001007,"Lease/rental (use the 'll' modifier when dme equipment rental is to be applied,Le",2024-10-01
LL002008,"against the purchase price),,,,,,",2024-10-01
LM001007,"Left main coronary artery,Left main coronary artery,,,C,,201301012013",2024-10-01
LR001007,"Laboratory round trip,Laboratory round trip,,,C,,198701011997",2024-10-01
LS001007,"Fda-monitored intraocular lens implant,Fda-monitored iol implant            65-7,",2024-10-01
LT001007,"Left side (used to identify procedures performed on the left side of the body),Le",2024-10-01
LU001007,"Fractionated payment,Fractionated payment,,,C,,202201012023",2024-10-01
M2001007,"Medicare secondary payer (msp),Medicare secondary payer,,,C,,200701012007",2024-10-01
MA001007,"Ordering professional is not required to consult a clinical decision support,Emer",2024-10-01
MA002008,"mechanism due to service being rendered to a patient with a suspected or,,,,,,",2024-10-01
MA003008,"confirmed emergency medical condition,,,,,,",2024-10-01
MB001007,"Ordering professional is not required to consult a clinical decision support,""Auc",2024-10-01
MB002008,"mechanism due to the significant hardship exception of insufficient internet,,,,,",2024-10-01
MB003008,"access,,,,,,",2024-10-01
MC001007,"Ordering professional is not required to consult a clinical decision support,""Auc",2024-10-01
MC002008,"mechanism due to the significant hardship exception of electronic health record,,",2024-10-01
MC003008,"or clinical decision support mechanism vendor issues,,,,,,",2024-10-01
MD001007,"Ordering professional is not required to consult a clinical decision support,""Auc",2024-10-01
MD002008,"mechanism due to the significant hardship exception of extreme and,,,,,,",2024-10-01
MD003008,"uncontrollable circumstances,,,,,,",2024-10-01
ME001007,"The order for this service adheres to appropriate use criteria in the clinical,Or",2024-10-01
ME002008,"decision support mechanism consulted by the ordering professional,,,,,,",2024-10-01
MF001007,"The order for this service does not adhere to the appropriate use criteria in,Ord",2024-10-01
MF002008,"the clinical decision support mechanism consulted by the ordering professional,,,",2024-10-01
MG001007,"The order for this service does not have applicable appropriate use criteria in,A",2024-10-01
MG002008,"the qualified clinical decision support mechanism consulted by the ordering,,,,,,",2024-10-01
MG003008,"professional,,,,,,",2024-10-01
MH001007,"Unknown if ordering professional consulted a clinical decision support,Auc consul",2024-10-01
MH002008,"""mechanism for this service, related information was not provided to the"",,,,,,",2024-10-01
MH003008,"furnishing professional or provider,,,,,,",2024-10-01
MS001007,"Six month maintenance and servicing fee for reasonable and necessary parts and,6-",2024-10-01
MS002008,"labor which are not covered under any manufacturer or supplier warranty,,,,,,",2024-10-01
N1001007,"Group 1 oxygen coverage criteria met,Group 1 oxygen cov crit met,,,C,,20230101202",2024-10-01
N2001007,"Group 2 oxygen coverage criteria met,Group 2 oxygen cov crit met,,,C,,20230101202",2024-10-01
N3001007,"Group 3 oxygen coverage criteria met,Group 3 oxygen cov crit met,,,C,,20230101202",2024-10-01
NB001007,"""Nebulizer system, any type, fda-cleared for use with specific drug"",Drug specifi",2024-10-01
NR001007,"New when rented (use the 'nr' modifier when dme which was new at the time of,New",2024-10-01
NR002008,"rental is subsequently purchased),,,,,,",2024-10-01
NU001007,"New equipment,New equipment,,,C,,198401011997",2024-10-01
P1001007,"A normal healthy patient,Normal healthy patient,,,C,,200601012006",2024-10-01
P2001007,"A patient with mild systemic disease,Patient w/mild syst disease,,,C,,20060101200",2024-10-01
P3001007,"A patient with severe systemic disease,Patient w/severe sys disease,,,C,,20060101",2024-10-01
P4001007,"A patient with severe systemic disease that is a constant threat to life,Pt w/sev",2024-10-01
P5001007,"A moribund patient who is not expected to survive without the operation,Pt not ex",2024-10-01
P6001007,"A declared brain-dead patient whose organs are being removed for donor purposes,B",2024-10-01
PA001007,"Surgical or other invasive procedure on wrong body part,""Surgery, wrong body part",2024-10-01
PB001007,"Surgical or other invasive procedure on wrong patient,""Surgery, wrong patient"",,,",2024-10-01
